model,accuracy_mean,accuracy_std,kappa_mean,kappa_std,subject_probe_acc,notes
"EEGNet (per-subject, calibrated)",0.5868,0.1678,0.4491,0.2237,,uses target-subject calibration data; not directly comparable to zero-shot rows
MAE-only (zero-shot),0.2784,0.0229,0.0378,0.0306,0.0797,"LOSO on BCI-IV 2a; encoder frozen, linear head only"
MAE+GRL (zero-shot),0.2747,0.0276,0.0329,0.0368,0.0807,"LOSO on BCI-IV 2a; encoder frozen, linear head only; GRL on CLS token only"
MAE+CLUB+SCIN+VIB (zero-shot),0.2667824074074074,0.02350705556896979,0.02237654320987654,0.0313427407586264,0.06361724500525763,"LOSO on BCI-IV 2a; encoder frozen, MLP head ensembled x5 (100 epochs each); SCIN+CLUB+VIB+time-warp/channel-dropout augmentation; 300 epochs pretraining"
MAE+EA (zero-shot),0.2586805555555556,0.01779925520744178,0.01157407407407407,0.023732340276589027,,"LOSO on BCI-IV 2a; Euclidean Alignment applied per-subject (unsupervised) to both PhysioNet pretraining and BNCI zero-shot data; encoder frozen, linear head only"
EA + CSP(8) + shrinkage LDA,0.4517746913580247,0.11929097191974625,0.2690329218106996,0.15905462922632835,,Zero-shot LOSO on BCI-IV 2a; Euclidean Alignment per-subject (unsupervised) applied to both source pool and held-out subject
EA + CSP(8) + SVM (RBF),0.4461805555555556,0.10263795961757112,0.26157407407407407,0.13685061282342814,,Zero-shot LOSO on BCI-IV 2a; Euclidean Alignment per-subject (unsupervised) applied to both source pool and held-out subject
"EA + FBCSP(5 bands, 4 comp each) + SVM (RBF)",0.3946759259259259,0.11128879985692165,0.1929012345679012,0.14838506647589553,,Zero-shot LOSO on BCI-IV 2a; Euclidean Alignment per-subject (unsupervised) applied to both source pool and held-out subject
EA + Covariances(lwf) + MDM,0.4380787037037037,0.10966397012051221,0.2507716049382716,0.1462186268273496,,"Zero-shot LOSO on BCI-IV 2a, pyriemann-based, EA per-subject"
EA + Covariances(lwf) + FgMDM,0.474537037037037,0.1341594456559454,0.2993827160493827,0.17887926087459388,,"Zero-shot LOSO on BCI-IV 2a, pyriemann-based, EA per-subject"
Per-class EA (source) + TS + shrinkage LDA,0.25405092592592593,0.03373400843006869,0.005401234567901265,0.044978677906758247,,"Zero-shot LOSO on BCI-IV 2a, pyriemann-based, EA per-subject"
Band ensemble (mu+beta) TS+LR+EA,0.45370370370370366,0.12044546713696151,0.2716049382716049,0.16059395618261538,,"Zero-shot LOSO on BCI-IV 2a, pyriemann-based, EA per-subject"
Riemannian Transformer v1 (zero-shot),0.4340277777777778,0.1032528071756083,0.24537037037037038,0.13767040956747773,,"LOSO on BCI-IV 2a; EA + Covariances(lwf) + TangentSpace(fit on source only) + frozen 4-layer transformer encoder (1 trial = 1 token, pretrained on PhysioNet, 3 classes) + MLP head"
"Riemannian Transformer v2 (trial-attention, zero-shot)",0.423804012345679,0.10019246299052746,0.23173868312757198,0.13358995065403662,,"LOSO on BCI-IV 2a; EA + Covariances(lwf) + TangentSpace(fit on source only) + frozen 6-layer ReZero-gated trial-attention transformer (N=32 trials/forward pass, pretrained on PhysioNet, 3 classes) + MLP head; fixes an initialization-time token-collapse bug found in v1's architecture (verified via smoke test) but does not improve zero-shot accuracy over v1"
Riemannian Transformer v2 + subject-similarity-weighted source (zero-shot),0.4215,0.1095,0.2287,0.1460,,Same frozen v2 encoder as above; MLP head trained with per-source-subject sample weights from unsupervised Riemannian distance between mean covariances (target-closest source subjects up-weighted). No improvement over unweighted v2; subject 2 (the chronic worst-case subject across every method in this project) got slightly worse (26.74% vs 29.34%)
Soft-vote ensemble (FgMDM + Riemannian Transformer v2),0.4144,0.1046,0.2191,0.1394,,"Equal-weight probability average of FgMDM and RT v2 per trial. Negative: lands at RT v2's level, not FgMDM's -- weight sweep from 1:1 to 10:1 (FgMDM:RTv2) tops out at 42.71%, still below FgMDM alone (47.45%); RT v2's errors dilute FgMDM's correct calls rather than adding complementary signal"
"MEKT-lite (JDA, k=100, 5 iterations)",0.4626,0.1124,0.2834,0.1498,,"Zero-shot LOSO on BCI-IV 2a; EA + Covariances(lwf) + TangentSpace(fit on source only), then Joint Distribution Adaptation (Long et al. 2013 / Zhang & Wu 2020 MEKT) -- linear transform jointly minimizing marginal + per-class MMD using iteratively-refined target pseudo-labels (transductive, no true target labels used). First method in this project to cross 30% on subject 2 (30.73%, vs previous best 29.34%); overall mean slightly below FgMDM (46.26% vs 47.45%)"
Soft-vote ensemble (FgMDM + MEKT-lite),0.4624,0.1153,,,,"Equal-weight probability average of FgMDM and MEKT-lite (both non-learned, geometry-based, but different mechanisms). Still does not beat FgMDM alone (46.24% vs 47.45%) -- essentially a wash with MEKT alone, so FgMDM's standalone strength is not being usefully combined with MEKT's subject-2 gain"
"MEKT-lite (JDA, k=50, lam=1.0, 5 iterations)",0.4838,0.1343,0.3117,0.1790,,"Same JDA/MEKT method as above with hyperparameters tuned via CPU sweep (k in {50,100,150,200}, lam in {0.1,1,10}, n_iter in {2,5,10}). Beats FgMDM (47.45%) and every other method tried in this project. Subject 3 hit 70.83%, the highest any subject has scored zero-shot; subject 2 at 29.86%"
"MEKT-lite (JDA, k=50, lam=1.0, 20 iterations) -- BEST RESULT",0.4848,0.1349,0.3130,0.1799,,"Full 36-config grid search (k in {10,20,50,100} x lam in {0.5,1,2} x n_iter in {5,10,20}), confirming k=50 as a clear local optimum (k=10/20/100 all underperform by a wide margin) but lam/n_iter barely matter within it -- entire top-5 band spans only 0.14pp (48.34-48.48%), i.e. a plateau, not a direction with further headroom. Subject 3 hit a new record 71.18%; does not cross 50%"
"Learned stacked ensemble (FgMDM + MEKT-lite, logistic-regression meta-classifier)",0.4830,0.1329,0.3107,0.1772,,"Meta-classifier trained on FgMDM+MEKT probabilities via leak-free inner LOSO over source subjects (no target labels used). Still does not beat MEKT alone (48.30% vs 48.38%) -- FgMDM's errors are too correlated with MEKT's to add complementary signal even with learned combination weights, not just fixed averaging"
SPDNet (zero-shot),0.4411651234567901,0.12205146328427967,0.2548868312757202,0.16273528437903959,,"LOSO on BCI-IV 2a; EA + Covariances(lwf) + frozen SPDNet encoder (BiMap/ReEig/LogEig, dims 22->16->10, pretrained on PhysioNet, 3 classes; stays on SPD manifold throughout, no tangent-space flattening until the final LogEig layer) + MLP head. Below FgMDM and MEKT; subject 2 kappa is negative (worse than chance) -- staying on-manifold end-to-end did not turn out to be the missing ingredient"
"Learned stacked ensemble (FgMDM + MEKT-lite + SPDNet, 3-way)",0.4842,0.1372,0.3122,0.1829,,"Same leak-free inner-LOSO meta-classifier approach as the 2-way stacked ensemble, extended with SPDNet's frozen-encoder probabilities as a third input block. Essentially tied with MEKT alone (48.42% vs 48.38%, a 0.04pp difference within noise) -- SPDNet's individual weakness (44.12%) limits how much net value a learned combiner can extract even though it helped subjects 1/3/4/7 individually; subject 3 hit a new record 72.22%"
Unsupervised per-target method selection (nearest-subject-by-covariance lookup),0.4709,0.1433,0.2945,0.1911,,"For each held-out subject, find the geometrically closest OTHER subject (unsupervised Riemannian distance between EA-aligned mean covariances, no labels), use whichever of {FgMDM,MEKT,SPDNet,RT-v2} scored best on THAT subject's own LOSO fold. Underperforms just always using MEKT (47.09% vs 48.48%) -- geometric closeness is not a reliable predictor of which method wins with only 8 candidate neighbors. Oracle upper bound (impossible in practice: best method per subject with full knowledge of true accuracy) is only 49.31% -- barely above MEKT alone, showing this 4-method pool has little complementary headroom left to exploit"
"PhysionetMI internal zero-shot LOSO -- FgMDM + EA (30 random subjects, seed=42)",0.4613,0.1241,0.1924,0.1860,,"Same FgMDM+EA method as the BCI-IV 2a experiments, but LOSO evaluated WITHIN PhysionetMI itself (30-subject random sample) instead of using PhysionetMI only as an upstream pretraining source. Tests whether a larger subject pool (vs BCI-IV 2a's 9) averages out BCI illiteracy. Result: 46.13%, essentially flat vs BCI-IV 2a's FgMDM (47.45%, -1.3pp) -- PhysioNet's noisier per-subject recordings offset the larger-N benefit. 2/30 (6.7%) subjects below 30% accuracy"
"PhysionetMI internal zero-shot LOSO -- MEKT-lite k=50/lam=1/20iter (30 random subjects, seed=42)",0.4955,0.1252,0.2436,0.1873,,"Same tuned MEKT config as the BCI-IV 2a best result, LOSO evaluated within PhysionetMI (30-subject sample). Modest +1.1pp gain over BCI-IV 2a's MEKT (48.48% -> 49.55%), but nowhere near the 52-58% hoped-for range -- the larger-population hypothesis only partially holds. 3/30 (10%) subjects below 30% accuracy, proportionally similar to BCI-IV 2a's 1/9 (11%). Neither this nor FgMDM crossed 55%, so the 3-way-ensemble step was skipped per protocol (and would have been invalid anyway: SPDNet/RT-v2 were pretrained on all 109 PhysionetMI subjects, overlapping with this eval set)"
"MEKT-lite (k=50,lam=1.0,20iter) with tmin=0.3/tmax=2.5 window",0.5039,0.1443,0.3385,0.1924,,"Every prior experiment in this project used the same tmin=0/tmax=3 window (seconds relative to cue onset), never questioned. A window sweep found tmin=0.3/tmax=2.5 (skipping the ERD onset transient, cutting 0.5s earlier) beats the default by ~2pp with the SAME method and SAME hyperparameters -- a free preprocessing gain, not a new algorithm. First result in the project to cross 50%. Subject 3 hit a new record 76.04%; subject 2 also improved to its best-ever 32.12%. Nearby windows (0.5/2.0=49.05%, 0.5/2.5=50.17%, 0.5/3.0=49.27%) confirm this is a real, robust effect (virtually every subject improved simultaneously), not noise from a single lucky config"
"Multi-window MEKT ensemble (soft-vote across 4 windows: 0.3/2.5, 0.5/2.5, 0.5/2.0, 0.5/3.0) -- BEST RESULT",0.5116,0.1474,0.3488,0.1965,,"Same MEKT-lite (k=50,lam=1,10-20iter) run independently on 4 different time windows (each individually 49.1-50.4%), soft-vote averaged probabilities. First result to cross 51%, beating the single-best window by 0.75pp. Unlike every earlier ensemble attempt (FgMDM+RTv2, FgMDM+MEKT, 3-way stacked -- all of which failed or washed out), this one works because all 4 inputs are the SAME strong method seeing different time slices of the same signal, so errors are less correlated than combining a strong method with a structurally weaker one. Subject 3 hit 76.74%, subject 8 hit 67.88%, both new records"
"MEKT frequency-band restriction (mu-only/beta-only/mu+beta-concatenated, tmin=0.3/tmax=2.5)",0.4647,0.1398,0.2863,,,"Tested whether narrowing to mu (8-12Hz), beta (16-24Hz), or both concatenated improves on broadband MEKT (50.41%). Negative on all three (mu=44.37%, beta=45.58%, concatenated=46.47%, best shown here) -- unlike the time-window finding, restricting frequency content throws away useful signal rather than removing noise; the existing broadband pipeline already captures whatever is useful across this range"
FgMDM + MEKT soft-vote ensemble at corrected window (tmin=0.3/tmax=2.5),0.5058,0.1434,,,,"Re-ran the earlier failed FgMDM+MEKT ensemble idea with the corrected time window. Small +0.17pp nudge over MEKT alone (50.41%->50.58%) but does not approach the multi-window ensemble (51.16%) -- the window fix helped both components similarly, it did not change the earlier finding that FgMDM and MEKT's errors are too correlated for ensembling to add much"
"Multi-seed MEKT ensemble (bootstrap-resampled source trials, 5 seeds, tmin=0.3/tmax=2.5)",0.5039,0.1446,,,,"Genuine randomized variant (bootstrap-resampling source trials per seed, since MEKT-lite is otherwise fully deterministic -- changing config.SEED alone would be a no-op). Essentially identical to the single-seed result (50.39% vs 50.41%) -- bootstrap resampling did not introduce enough prediction diversity to help, unlike using different TIME WINDOWS, which apparently captures genuinely different information from the same underlying signal"
"Expanded 6-window MEKT ensemble (added 2 more diverse windows: 0.1/2.3, 0.7/3.2)",0.5093,0.1501,0.3457,,,"Tested whether widening the window ensemble beyond the original 4 (adding windows further from the known optimum, to increase diversity) helps. Negative -- the 2 added windows are individually weaker (48.28%, 48.40% vs 49.1-50.4% for the original 4), and dilute the ensemble rather than adding useful complementary signal. Does not beat the 4-window ensemble (51.16%)"
7-way ensemble (6 MEKT windows + FgMDM at best window),0.5100,0.1514,0.3467,,,"Adding FgMDM as a 7th member on top of the (already-worse) 6-window ensemble gives a marginal +0.07pp nudge (50.93%->51.00%) but still does not recover past the original 4-window MEKT ensemble (51.16%). Confirms 51.16% is a genuine local optimum for this window-ensembling approach, not an artifact of a lucky configuration -- the original 4 windows happened to be well-chosen (all individually strong), and further expansion just adds weaker, diluting members"
MEKT confidence-thresholded pseudo-labeling (single window tmin=0.3/tmax=2.5),0.5052,0.1392,0.3403,,,"Algorithmic change to MEKT itself: only target pseudo-labels above a confidence threshold contribute to the per-class MMD adaptation term each iteration (marginal term still uses all trials). Threshold sweep (0.4-0.7) shows only the mildest threshold (0.4) helps at all (+0.11pp over baseline, 50.41%->50.52%); anything stricter hurts progressively (down to 48.59% at 0.7) by starving the per-class terms of samples. A real but tiny effect, not a breakthrough"
Multi-window MEKT ensemble + confidence-threshold=0.4 (combined),0.5100,0.1469,0.3467,0.1958,,"Tested whether the two small wins (multi-window ensembling, confidence thresholding) compound additively. They do not -- 51.00% vs the pure multi-window ensemble's 51.16%, i.e. slightly WORSE despite confidence=0.4 helping 3 of the 4 individual windows. Small per-component gains do not reliably combine; the error-correlation structure between ensemble members matters more than any single component's own accuracy"
MEKT with 'corr' covariance estimator instead of Ledoit-Wolf (single window tmin=0.3/tmax=2.5),0.5122,0.1402,0.3495,,,"Swapped Covariances(estimator='lwf') for Covariances(estimator='corr') -- untested all project. Beats the lwf baseline at this window (50.41% -> 51.22%), a bigger single-change gain than anything else tried since the window fix. Riemannian Alignment (RA) instead of EA, tested at the same time, came back flat (50.44% vs 50.41% for EA) and was not pursued further"
"Multi-window MEKT ensemble with 'corr' estimator (4 windows, soft-vote)",0.5226,0.1524,0.3634,0.2032,,"Same 4-window ensemble as the lwf-based best result, but using the corr covariance estimator throughout. 52.26% -- crosses 52% on its own, beating the lwf multi-window ensemble (51.16%) by 1.1pp from the estimator swap alone"
"8-member ensemble: 4 windows x {lwf,corr} covariance estimators -- PROJECT BEST",0.5239,0.1492,,,,"Combines every MEKT fit from both the lwf and corr multi-window ensembles (8 total: 4 windows x 2 estimators), soft-voted. 52.39% +/- 14.92% -- the best result in the entire project. Subject 3 hit a new record 77.60%, subject 8 hit 69.10%. The corr estimator turned out to be a genuinely complementary signal source (not just a stronger single method, but one whose errors combine well with lwf's), unlike most combination attempts earlier tonight which failed to compound"
Accuracy-weighted 8-member ensemble (weight = each member's own mean LOSO accuracy),0.5239,0.1490,,,,Diagnostic found real per-subject variance across the 8 members (subject 7 ranges 38-48% depending on member) -- tested whether weighting by each member's overall accuracy exploits this. It does not meaningfully differ from equal-weight (both ~52.39%) since all 8 members are similar enough in overall strength that accuracy-based weights are nearly uniform anyway
8-member LEARNED stacked ensemble (logistic-regression meta-classifier via leak-free inner-CV),0.5135,0.1449,,,,"Attempted to let a meta-classifier learn per-subject-adaptive combination weights (not a single global blend) from the 8 members' probability vectors, via 8-subject inner LOSO. Underperforms equal-weight (51.35% vs 52.39%) -- with only 8 source subjects' worth of meta-training data for 32 meta-features (8 members x 4 classes), the meta-classifier likely overfits noise rather than learning a real subject-adaptive pattern"
"12-member ensemble (add OAS as a 3rd covariance estimator, 4 windows x 3 estimators)",0.5216,0.1458,0.3621,,,"OAS alone (4-window ensemble) gives 51.16%, weaker than corr (52.26%) and roughly tied with lwf (51.16%). Adding it as a 3rd estimator to the 8-member lwf+corr ensemble dilutes rather than helps (52.16% vs 52.39%) -- confirms corr is a genuinely special complementary estimator, not evidence that 'any additional estimator helps'"
